"Département - commune","Libellé de la commune","Région","Département","Code géographique du bassin de vie 2012","Libellé du bassin de vie 2012",,
"COM","LIB_COM","REG","DEP","BV","LIBBV",,
"01001","L'Abergement-Clémenciat","82","01","01093","Châtillon-sur-Chalaronne",,
"01002","L'Abergement-de-Varey","82","01","01004","Ambérieu-en-Bugey",,
"01004","Ambérieu-en-Bugey","82","01","01004","Ambérieu-en-Bugey",,
"01005","Ambérieux-en-Dombes","82","01","69123","Lyon",,
"01006","Ambléon","82","01","01034","Belley",,
"01007","Ambronay","82","01","01004","Ambérieu-en-Bugey",,
"01008","Ambutrix","82","01","01004","Ambérieu-en-Bugey",,
"01009","Andert-et-Condon","82","01","01034","Belley",,
"01010","Anglefort","82","01","74269","Seyssel",,
"01011","Apremont","82","01","01283","Oyonnax",,
"01012","Aranc","82","01","01185","Hauteville-Lompnes",,
"01013","Arandas","82","01","01004","Ambérieu-en-Bugey",,
"01014","Arbent","82","01","01283","Oyonnax",,
"01015","Arbignieu","82","01","01034","Belley",,
"01016","Arbigny","82","01","01305","Pont-de-Vaux",,
"01017","Argis","82","01","01185","Hauteville-Lompnes",,
"01019","Armix","82","01","01185","Hauteville-Lompnes",,
"01021","Ars-sur-Formans","82","01","69123","Lyon",,
"01022","Artemare","82","01","01034","Belley",,
"01023","Asnières-sur-Saône","82","01","01305","Pont-de-Vaux",,
"01024","Attignat","82","01","01266","Montrevel-en-Bresse",,
"01025","Bâgé-la-Ville","82","01","71270","Mâcon",,
"01026","Bâgé-le-Châtel","82","01","71270","Mâcon",,
"01027","Balan","82","01","69123","Lyon",,
"01028","Baneins","82","01","01093","Châtillon-sur-Chalaronne",,
"01029","Beaupont","82","01","39475","Saint-Amour",,
"01030","Beauregard","82","01","69123","Lyon",,
"01031","Bellignat","82","01","01283","Oyonnax",,
"01032","Béligneux","82","01","69123","Lyon",,
"01033","Bellegarde-sur-Valserine","82","01","01033","Bellegarde-sur-Valserine",,
"01034","Belley","82","01","01034","Belley",,
"01035","Belleydoux","82","01","01283","Oyonnax",,
"01036","Belmont-Luthézieu","82","01","01034","Belley",,
"01037","Bénonces","82","01","38247","Montalieu-Vercieu",,
"01038","Bény","82","01","01053","Bourg-en-Bresse",,
"01039","Béon","82","01","01034","Belley",,
"01040","Béréziat","82","01","01266","Montrevel-en-Bresse",,
"01041","Bettant","82","01","01004","Ambérieu-en-Bugey",,
"01042","Bey","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01043","Beynost","82","01","69123","Lyon",,
"01044","Billiat","82","01","01033","Bellegarde-sur-Valserine",,
"01045","Birieux","82","01","01443","Villars-les-Dombes",,
"01046","Biziat","82","01","01457","Vonnas",,
"01047","Blyes","82","01","01202","Lagnieu",,
"01049","La Boisse","82","01","69123","Lyon",,
"01050","Boissey","82","01","01305","Pont-de-Vaux",,
"01051","Bolozon","82","01","01269","Nantua",,
"01052","Bouligneux","82","01","01443","Villars-les-Dombes",,
"01053","Bourg-en-Bresse","82","01","01053","Bourg-en-Bresse",,
"01054","Bourg-Saint-Christophe","82","01","01244","Meximieux",,
"01056","Boyeux-Saint-Jérôme","82","01","01004","Ambérieu-en-Bugey",,
"01057","Boz","82","01","01305","Pont-de-Vaux",,
"01058","Brégnier-Cordon","82","01","38012","Aoste",,
"01059","Brénaz","82","01","01034","Belley",,
"01060","Brénod","82","01","01185","Hauteville-Lompnes",,
"01061","Brens","82","01","01034","Belley",,
"01062","Bressolles","82","01","69123","Lyon",,
"01063","Brion","82","01","01269","Nantua",,
"01064","Briord","82","01","38247","Montalieu-Vercieu",,
"01065","Buellas","82","01","01053","Bourg-en-Bresse",,
"01066","La Burbanche","82","01","01034","Belley",,
