ID,HOP,2012,2013,2014,2015
1,Wis,NA,12544,12709,12291
2,Hag,NA,43441,44380,45192
3,Sav,NA,27736,27889,28169
4,Hus,NA,103446,107403,121238
5,Htp,NA,NA,75226,88948
6,Nhc,NA,NA,32177,32290
7,Ane,NA,14624,16558,16814
8,Odi,NA,25025,27655,25317
9,Dts,NA,11976,12350,12277
10,Sel,NA,29699,30438,31815
11,Col,NA,64116,66345,67855
12,Pas,NA,NA,47529,47513
13,Prc,NA,NA,18816,20342
14,Geb,NA,15325,21124,15877
15,Mul,NA,72673,76923,78965
16,Hsr,NA,NA,14201,14765
17,Emr,NA,NA,62722,64200
18,Dia,NA,29887,29368,29148
19,Ros,NA,7313,NA,8034
20,Tan,NA,15407,15496,17093
21,Alk,NA,15711,16295,16177
22,3Fr,NA,16367,16196,16702
23,Ccm,NA,NA,NA,9751
